frame,value
0,0.1101327
0,0.175247
0,0.1488035
0.000532,0.3329743
0.000532,0.1161788
0.001198,0.3839092
0.001198,0.1217881
0.001966,0.3783266
0.001966,0.08656011
0.002723,0.6491306
0.002723,0.06768478
0.004021,0.4110878
0.004021,0.0519362
0.004843,0.5285918
0.004843,0.07551987
0.0059,0.4475796
0.0059,0.0510198
0.006795,0.2753749
0.006795,0.05900779
0.007346,0.3333855
0.007346,0.05539525
0.008013,0.2629502
0.008013,0.05728044
0.008539,0.2055219
0.008539,0.1037768
0.008539,0.1213108
0.009115,0.1739833
0.009115,0.1844944
0.009115,0.05255727
0.009767,0.1859533
0.009767,0.108575
0.009767,0.1213132
0.010316,0.1656418
0.010316,0.1912401
0.010316,0.04891856
0.010967,0.172346
0.010967,0.1149858
0.010967,0.1116319
0.011502,0.1657323
0.011502,0.2029612
0.011502,0.04648535
0.012172,0.1496989
0.012172,0.1290247
0.012172,0.1134845
0.012691,0.1548395
0.012691,0.2067839
0.012691,0.0410228
0.01335,0.1392291
0.01335,0.09278198
0.01335,0.197794
0.01335,0.03043875
0.014097,0.3822693
0.014097,0.05928385
0.014861,0.449194
0.014861,0.05667534
0.015579,0.3832459
0.015579,0.05179946
0.016346,0.4055584
0.016346,0.0380078
0.017157,0.3247016
0.017157,0.07950962
0.017793,0.1290003
0.017793,0.1528967
0.017793,0.1098774
0.018317,0.2999873
0.018317,0.07490125
0.018917,0.3033051
0.018917,0.04979986
0.019524,0.3380198
0.019524,0.05344754
0.0202,0.3202057
0.0202,0.0539233
0.02084,0.3869444
0.02084,0.1027775
0.02084,0.09407631
0.021413,0.2751265
0.021413,0.06106603
0.021963,0.5531005
0.021963,0.06365664
0.022744,0.1930994
0.022744,0.05481639
0.022744,0.5104272
0.022744,0.1860315
0.023513,0.3239903
0.023513,0.08605155
0.024161,0.2993174
0.024161,0.05570161
0.024759,0.3636454
0.024759,0.07879488
0.024759,0.1285898
0.025346,0.105317
0.025346,0.181347
0.025346,0.04960264
0.025881,0.3460332
0.025881,0.0787165
0.025881,0.1291552
0.026487,0.1240809
0.026487,0.2672784
0.026487,0.04105603
0.027203,0.2299707
0.027203,0.09153476
0.027203,0.09935571
0.027804,0.2143193
0.027804,0.06257941
0.027804,0.1291786
0.028331,0.101919
0.028331,0.1625767
0.028331,0.0619396
0.028331,0.131994
0.02892,0.07594699
0.02892,0.2363584
0.02892,0.04804574
0.029509,0.2595055
0.029509,0.0278621
0.030028,0.09209956
0.030028,0.08475551
0.030028,0.08045079
0.030028,0.06162927
0.030028,0.08026031
0.030594,0.05066472
0.030594,0.306495
0.030594,0.0400927
0.030594,0.2739198
0.030594,0.02196673
0.031484,0.03536782
0.031484,0.2364039
0.031484,0.05881207
0.032011,0.170434
0.032011,0.03653422
0.032011,0.3074247
0.032011,0.0253348
0.032867,0.125223
0.032867,0.03318249
0.032867,0.4267701
0.032867,0.0513033
0.03358,0.1689805
0.03358,0.02246768
0.03358,0.1693669
0.03358,0.03629452
0.03423,0.110969
0.03423,0.04003625
0.03423,0.6538365
0.03423,0.03802157
0.035267,0.0685814
0.035267,0.3439028
0.035267,0.09485088
0.03582,0.2380128
0.03582,0.04423179
0.03582,0.1602801
0.036364,0.0749245
0.036364,0.6040415
0.036364,0.04886068
0.037091,0.141592
0.037091,0.1700092
0.037091,0.1129262
0.037666,0.1241493
0.037666,0.1337426
0.037666,0.0620678
0.037666,0.1859408
0.038243,0.07625709
0.038243,0.1928675
0.038243,0.05485797
0.038751,0.1121298
0.038751,0.09788685
0.038751,0.1067926
0.038751,0.1277191
0.039321,0.1204043
0.039321,0.06458035
0.039321,0.2448751
0.039321,0.1769715
0.03992,0.1136793
0.03992,0.08166999
0.03992,0.2823612
0.03992,0.1084933
0.040557,0.1197842
0.040557,0.1295696
0.040557,0.07831956
0.040557,0.1708854
0.041145,0.05883612
0.041145,0.1446906
0.041145,0.07342961
0.041145,0.1664799
0.041653,0.05539771
0.041653,0.1596719
0.041653,0.1019805
0.041653,0.174046
0.042157,0.05475651
0.042157,0.1570939
0.042157,0.06770279
0.042157,0.1586354
0.042671,0.06253845
0.042671,0.2025179
0.042671,0.07766354
0.043176,0.1215502
0.043176,0.08857532
0.043176,0.2643507
0.043176,0.05103939
0.043998,0.5278586
0.043998,0.06965794
0.044618,0.3045337
0.044618,0.05130868
0.044618,0.1873706
0.045183,0.06263721
0.045183,0.1837108
0.045183,0.078035
0.045183,0.0591249
0.045183,0.2127902
0.045752,0.02966119
0.045752,0.1129678
0.045752,0.08607677
0.045752,0.05229323
0.045752,0.2371012
0.045752,0.07329866
0.046431,0.1652791
0.046431,0.05701284
0.046431,0.1724099
0.046431,0.142779
0.046431,0.1045071
0.047081,0.06065955
0.047081,0.1104888
0.047081,0.06926127
0.047081,0.08558562
0.047081,0.1056459
0.047627,0.08250815
0.047627,0.07934175
0.047627,0.3460448
0.047627,0.2223245
0.047627,0.1273584
0.04822,0.04928399
0.04822,0.1851517
0.04822,0.03189626
0.04822,0.2084201
0.04822,0.05364897
0.049022,0.3084189
0.049022,0.08901603
0.04959,0.1888429
0.04959,0.1217595
0.04959,0.1219943
0.050165,0.06790642
0.050165,0.05689227
0.050165,0.08713167
0.050165,0.04106692
0.050165,0.2519681
0.050165,0.06408825
